,user_id,score,date,store,review_title,review_contents
229,chfh****,5,21.05.16.,애플 공식 브랜드스토어,배송빨리 와서 좋았습니다,배송빨리 와서 좋았습니다
230,b*s*****,5,21.05.06.,하이마트쇼핑몰,할인받고 구매해서 좋아요,할인받고 구매해서 좋아요
231,juli****,5,21.05.04.,프리스비애플프리미엄리셀러,배송빠르고 너무이쁩니다,배송빠르고 너무이쁩니다
232,jadu****,5,21.05.02.,애플 공식 브랜드스토어,칼배송에 색도 넘 이뻐요,칼배송에 색도 넘 이뻐요
233,l*m*****,5,21.05.07.,하이마트쇼핑몰,배송이 빨라서 좋았어요.,배송이 빨라서 좋았어요.
234,h920****,5,21.01.16.,프리스비애플프리미엄리셀러,상태좋고 잘쓰고있어요,상태좋고 잘쓰고있어요
235,j*s*****,5,21.05.01.,하이마트쇼핑몰,배송빠르고 예뻐요 ㅠ,배송빠르고 예뻐요 ㅠ
236,s*n*****,5,21.04.30.,하이마트쇼핑몰,싸게 잘 구입했습니다,싸게 잘 구입했습니다
237,akir****,5,21.01.16.,프리스비애플프리미엄리셀러,배송 빠르고 ! 좋아용,배송 빠르고 ! 좋아용
238,emsa****,5,21.05.13.,프리스비애플프리미엄리셀러,배송은 좀 느렸어요,배송은 좀 느렸어요
239,ban0****,5,21.01.16.,애플 공식 브랜드스토어,폰 잘대구 넘조어요,폰 잘대구 넘조어요
240,kimt****,5,21.05.04.,애플 공식 브랜드스토어,주문하고 그담날애 버로 도착했습니다 너무이쁘네요 굿입니다,주문하고 그담날애 버로 도착했습니다 너무이쁘네요 굿입니다
241,ggyo****,5,21.04.18.,프리스비애플프리미엄리셀러,"자급제폰 처음 구입해서 무서웠는데, 안전하고 빠르게 배송해 주셔서 감사합니다.^^ 테스트 해봤더니 양품인거 같아 더 만족합니다! 번창하세요~!!","자급제폰 처음 구입해서 무서웠는데, 안전하고 빠르게 배송해 주셔서 감사합니다.^^ 테스트 해봤더니 양품인거 같아 더 만족합니다! 번창하세요~!!"
242,0001****,5,21.05.04.,애플 공식 브랜드스토어,실물깡패 쌈무그린💚 사진을 확대해서 찍어도 화질 좋고 전에 쓰던 폰은 인물사진모드가 없어서 속상했는데 인물사진모드로 사진 왕창 찍을 거예요 ^~^,실물깡패 쌈무그린💚 사진을 확대해서 찍어도 화질 좋고 전에 쓰던 폰은 인물사진모드가 없어서 속상했는데 인물사진모드로 사진 왕창 찍을 거예요 ^~^
243,chan****,5,21.05.05.,프리스비애플프리미엄리셀러,진짜 빨리 와요 포장이 조금 허술한데어쨌든 양품으로 도착해서 뭐,진짜 빨리 와요 포장이 조금 허술한데어쨌든 양품으로 도착해서 뭐
244,o*m*****,5,21.05.01.,하이마트쇼핑몰,잘쓰겠습니다 감사합니다,잘쓰겠습니다 감사합니다
245,tjdr****,5,21.04.04.,애플 공식 브랜드스토어,너무 예쁘고 사진도 잘 찍혀서 만족해요,너무 예쁘고 사진도 잘 찍혀서 만족해요
246,samu****,5,21.03.25.,애플 공식 브랜드스토어,"핸드폰 엄청 예쁘고, 예쁘고 예뻐요. 무조건 화이트입니다. 빠르고, 배터리도 오래 가요. 한 순간도 후회한 적 없습니다. 강추","핸드폰 엄청 예쁘고, 예쁘고 예뻐요. 무조건 화이트입니다. 빠르고, 배터리도 오래 가요. 한 순간도 후회한 적 없습니다. 강추"
247,ban0****,5,21.03.02.,애플 공식 브랜드스토어,그냥 너무 조아용 화질 굿 폰크기 굿 무게굿 여자가 쓰기 딱좋음ㅋㅋㅋ글구이쁨,그냥 너무 조아용 화질 굿 폰크기 굿 무게굿 여자가 쓰기 딱좋음ㅋㅋㅋ글구이쁨
